,Author Name,Review Date,Reviewer Ratings,Review Body,Developer Reply,Review Likes
250,侯禕縉,2019年6月2日,5, 方便快速,,0
251,陳亮吉,2019年6月4日,4, 很棒,,0
252,Lisa Tu,2019年5月25日,5, 方便。,,0
253,林橘子,2019年5月31日,5, 方便，操作簡單。,,0
254,甜甜謝,2019年5月25日,1, 太爛了~根本無法註冊。。。,,1
255,chay過浪,2019年5月26日,5, 超讚，很方便，而且優惠多~~推,,0
256,HSIN-I KUO,2019年5月24日,1, 會自己亂抓定位，不會出現原來設定好的外送地址，採用非常不適合的外國app介面。還送了封email要我設定身份証字號，結果進app根本沒這欄位。最後餐廳開立的發票也不知道在哪裡，爛透了！老是說自己合法，我一點都不覺得！,,0
257,何秋龍,2019年5月25日,5, 讚，一級棒。,,0
258,鍾華,2019年5月25日,5, good,,0
259,鄭琳鏵,2019年5月26日,5, 讚,,0
260,Danny Hsu,2019年5月27日,4, good,,1
261,cindy shih,2019年5月27日,5, 讚,,0
262,Yang Beson,2019年5月26日,5, good,,0
263,呂其樺,2019年5月25日,5, 方便,,0
264,李承志,2019年5月28日,5, good,,0
265,CC Liu,2019年5月24日,5, useful,,0
266,徐郁雯,2019年5月25日,5, good,,0
267,brian hung,2019年5月28日,5, good,,0
268,陳威愷,2019年5月27日,5, 贊,,0
269,葉承鑫,2019年5月28日,5, 讚,,0
270,Ben Huan,2019年5月31日,5, good,,0
271,Sam Su,2019年6月1日,5, 不錯,,0
272,Jerry Yang,2019年6月1日,5, 方便,,0
273,謝俊,2019年5月31日,5, 👍,,0
274,陳志忠,2019年5月31日,5, 👍,,0
275,蘇聖恩,2019年5月23日,1, 最後一次定餐，顯示已接受定單，過5分鐘後出現定單已拒絕，隔天帳號直接封鎖，不知道是我定餐都沒付錢，還是怎樣，有夠爛的,,2
276,CHENCHI WU,2019年5月23日,5, 歡迎使用我的邀請代碼：eats-0jwl89，首 2 次透過 #Uber Eats 優食訂購即可享有 NT$80 的折扣優惠。,,2
277,Chongchang Chu,2019年5月25日,1, 不能編輯地址結果害外送員跑錯戶。,,3
