,Author Name,Review Date,Reviewer Ratings,Review Body,Developer Reply,Review Likes
168,Google 使用者,2019年3月18日,1, 太爛了，文山區萬美街沒半間外送，剛下載立馬刪除app,有無科技2019年3月19日您好 文山區目前不在服務範圍內唷～期待之後有機會擴區為您服務(^_^),8
169,林冠宇,2019年3月9日,5, 訂單超過時間，沒有通知需要自己去客服吹單。希望下次訂不會有這樣的疏失，有補償再給你一次機會。,有無科技2019年3月10日謝謝您願意再給我們機會～會持續改進的,0
170,Lin Kathy,2019年3月8日,5, 很方便，偶爾想休息不煮飯的另一種方式。,,1
171,紀桓鈞,2019年3月11日,1, 中壢市未開放點餐,有無科技2019年3月19日您好～桃園目前開放蘆竹南崁及藝文大有區哦🙂,6
172,陳亞璇,2019年3月5日,5, 使用了20幾次，送餐很準時，外送人員服務態度很好,,0
173,ARVIN WANG,2019年3月10日,4, 客服與外送員服務都很好,,0
174,君小夜,2019年3月9日,1, 素食類太少 希望能多一些,有無科技2019年3月10日如果您有喜愛的素食店家～歡迎推薦給我們唷🖤,0
175,鄭雅云,2019年3月3日,5, 使用過5次，送餐準時，服務員態度也不錯！！,,1
176,ckck0921,2019年3月16日,2," 無法設定帳號,送貨地址也一直說找不到算了...",有無科技2019年3月19日您好～可至LINE@私訊小編確認哦！,1
177,胡琬楨,2019年3月9日,4, 希望中和區能再開發更多合作的早餐店!,有無科技2019年3月10日如果您有喜愛的早餐店家～歡迎推薦給我們唷🖤,0
178,伊天凜,2019年3月9日,1, 景美沒有提供外送服務,有無科技2019年3月10日您好 該地區不在服務範圍內唷😌,0
179,Brian Chen,2019年3月15日,3, 配合的店家太少，選擇太少！小吃店，飲料店太多,有無科技2019年3月19日若您有喜歡的餐廳可以推薦給我們哦～～～,1
180,Yilin Lo,2019年3月12日,1, 在台中市西區附近居然連一家外送都沒有??,有無科技2019年3月19日嗚嗚ಥ_ಥ目前台中只開放西屯區唷～希望之後有機會擴區至西區哦,1
181,Yu-Syuan Lin,2019年3月9日,5, 篩選條件能更多一點就好了，服務費用等等,,0
182,ophelia Wu,2019年3月3日,5, 第一次使用還不錯,,0
183,Ya,2019年3月24日,5, 可以推薦餐廳 服務很好,,0
184,Yu-Mei Liu,2019年3月8日,5, 對自己的疏忽!迅速做了補救~,,1
185,Chihui Chen,2019年3月8日,5, 超愛！可以現金付款！,,1
186,柯貞媛,2019年4月28日,2, 可以選擇店家太少了,有無科技2019年5月4日編會轉達相關單位開發新店家～,0
187,陳如鎔,2019年3月5日,5, 目前使用最好的app,,1
188,wu James,2019年3月10日,5, 很棒的外送服務,,0
189,Google 使用者,2019年3月15日,5, 非常好，接訂單和配送都會提示，很喜歡,,0
